      243
 Fo x 1
 Fr a 88
 Fr m 3
 Fr o 38
 Fu e 5
 Fu k 27
 Fu n 1
 Fu s 1
 G    3
 G  C 1
 G  E 1
 G  I 2
 G  O 1
 G  a 1
 G  c 2
 G  d 4
 G  e 2
 G  l 2
 G  m 1
 G  n 2
 G  o 2
 G  p 2
 G  q 1
 G  s 2
 GA L 1
 GA T 1
 GB P 1
 GD F 2
 GE C 5
 GG   1
 GH z 4
 GM   1
 GM E 2
 GN S 46
 GP S 14
 GS M 2
 GU E 7
 Ga b 2
 Ga l 90
 Ga n 4
 Ga r 54
 Ga u 15
 Ga y 5
 Ga z 15
 Gd a 2
 Ge i 1
 Ge n 55
 Ge o 23
 Ge r 3
 Ge s 2
 Gi b 4
 Gi e 4
 Gi l 4
 Gi n 1
 Gi o 1
 Gi r 2
 Gl e 3
 Gl l 1
 Gl o 7
 Gn c 2
 Gn r 3
 Gn t 1
 Go e 1
 Go l 49
 Go m 2
 Go n 2
 Go o 5
 Go r 36
 Go u 18
 Gr a 25
 Gr c 208
 Gr e 11
 Gr o 6
 Gr u 2
 Gr v 1
 Gt e 16
 Gu a 18
 Gu c 9
 Gu e 8
 Gu i 22
 Gu n 2
 Gu s 1
 Gu y 1
 Gy n 1
 Gy r 13
 Gy u 2
 H    27
 H  b 1
 HA L 1
 HC R 7
 HG   3
 HN   3
 HT V 1
 Ha a 1
 Ha b 12
 Ha g 7
 Ha h 2
 Ha j 5
 Ha l 2
 Ha m 16
 Ha n 20
 Ha r 7
 Ha s 2
 Ha t 1
 Ha u 45
 Ha w 2
 Ha y 5
 He a 9
 He c 5
 He d 7
 He i 1
 He l 6
 He n 1
 He r 13
 He u 6
 Hi e 8
 Hi g 1
 Hi l 3
 Hi r 9
 Hi t 1
 Hk m 7
 Hl a 5
 Ho c 1
 Ho l 13
 Ho n 70
 Ho r 1
 Ho w 3
 Hu g 1
 Hu l 3
 Hu m 3
 Hu s 1
 I    1
 I  D 1
 I  I 1
 I  M 1
 I  P 1
 I  d 1
 I  e 1
 I  l 3
 I  o 1
 I  p 1
 I  q 2
 IA C 1
 IC C 21
 IC D 15
 IC E 1
 IC P 1
 ID   702
 IE D 4
